"X","rent","avail","type","loc","sqm","rooms","street","description"
"255",13995,"Indefinite","Apartment","Aarhus C",100,3,"Borggade","Lejlighed, Borggade, 8000 Aarhus C, etage: 5. tv.                          Antal varelser: 3  Antal m2: 100  Husleje. 13.995 kr.  Indskud: 41.985 kr.  Post nummer: 8000  By: Aarhus C"
"256",13995,"Indefinite","Apartment","Aarhus C",100,3,"Borggade","Lejlighed, Borggade, 8000 Aarhus C, etage: 5. tv.                          Antal varelser: 3  Antal m2: 100  Husleje. 13.995 kr.  Indskud: 41.985 kr.  Post nummer: 8000  By: Aarhus C"
"257",13995,"Indefinite","Apartment","Aarhus C",107,4,"Borggade","Lejlighed, Borggade, 8000 Aarhus C, etage: 4. th.                          Antal varelser: 4  Antal m2: 107  Husleje. 13.995 kr.  Indskud: 41.985 kr.  Post nummer: 8000  By: Aarhus C"
"258",13995,"Indefinite","Apartment","Aarhus C",107,4,"Borggade","Lejlighed, Borggade, 8000 Aarhus C, etage: 4. th.                          Antal varelser: 4  Antal m2: 107  Husleje. 13.995 kr.  Indskud: 41.985 kr.  Post nummer: 8000  By: Aarhus C"
"259",7637,"Indefinite","Apartment","Aarhus C",54,2,"Ceresbyen","Lejlighed, Ceresbyen, 8000 Aarhus C, etage: 2. lejl. 1.                          Antal varelser: 2  Antal m2: 54  Husleje. 7.637 kr.  Indskud: 22.910 kr.  Post nummer: 8000  By: Aarhus C"
"260",7637,"Indefinite","Apartment","Aarhus C",54,2,"Ceresbyen","Lejlighed, Ceresbyen, 8000 Aarhus C, etage: 2. lejl. 1.                          Antal varelser: 2  Antal m2: 54  Husleje. 7.637 kr.  Indskud: 22.910 kr.  Post nummer: 8000  By: Aarhus C"
"261",7738,"Indefinite","Apartment","Aarhus C",53,2,"Ceresbyen","Lejlighed, Ceresbyen, 8000 Aarhus C, etage: 6. lejl. 2.                          Antal varelser: 2  Antal m2: 53  Husleje. 7.738 kr.  Indskud: 23.214 kr.  Post nummer: 8000  By: Aarhus C"
"262",7738,"Indefinite","Apartment","Aarhus C",53,2,"Ceresbyen","Lejlighed, Ceresbyen, 8000 Aarhus C, etage: 6. lejl. 2.                          Antal varelser: 2  Antal m2: 53  Husleje. 7.738 kr.  Indskud: 23.214 kr.  Post nummer: 8000  By: Aarhus C"
"263",7473,"Indefinite","Apartment","Aarhus C",53,2,"Ceresbyen","Lejlighed, Ceresbyen, 8000 Aarhus C, etage: 1. lejl. 2.                          Antal varelser: 2  Antal m2: 53  Husleje. 7.473 kr.  Indskud: 22.419 kr.  Post nummer: 8000  By: Aarhus C"
"264",7473,"Indefinite","Apartment","Aarhus C",53,2,"Ceresbyen","Lejlighed, Ceresbyen, 8000 Aarhus C, etage: 1. lejl. 2.                          Antal varelser: 2  Antal m2: 53  Husleje. 7.473 kr.  Indskud: 22.419 kr.  Post nummer: 8000  By: Aarhus C"
"265",8085,"Indefinite","Apartment","Aarhus C",57,2,"Ceresbyen","Lejlighed, Ceresbyen, 8000 Aarhus C, etage: 4. lejl. 6.                          Antal varelser: 2  Antal m2: 57  Husleje. 8.085 kr.  Indskud: 24.254 kr.  Post nummer: 8000  By: Aarhus C"
"266",8085,"Indefinite","Apartment","Aarhus C",57,2,"Ceresbyen","Lejlighed, Ceresbyen, 8000 Aarhus C, etage: 4. lejl. 6.                          Antal varelser: 2  Antal m2: 57  Husleje. 8.085 kr.  Indskud: 24.254 kr.  Post nummer: 8000  By: Aarhus C"
"267",9039,"Indefinite","Apartment","Brabrand",79,4,"Engdalsvej","Lejlighed, Engdalsvej, 8220 Brabrand, etage: st. tv.                          Antal varelser: 4  Antal m2: 79  Husleje. 9.039 kr.  Indskud: 27.058 kr.  Post nummer: 8220  By: Brabrand"
"268",9039,"Indefinite","Apartment","Brabrand",79,4,"Engdalsvej","Lejlighed, Engdalsvej, 8220 Brabrand, etage: st. tv.                          Antal varelser: 4  Antal m2: 79  Husleje. 9.039 kr.  Indskud: 27.058 kr.  Post nummer: 8220  By: Brabrand"
"269",3498,"Indefinite","Apartment","Randers C",38,2,"Pontoppidansgade","Lejlighed, Pontoppidansgade, 8900 Randers C, etage: st.                          Der er adgang til vaskeri.  Hvis du onsker, at se denne lejlighed ringer du alle hverdag fra 9 til 15.  Overtagelsesdato kan muligvis andres.  Ingen husdyr.  Centralt beliggende og renoveret ejendom. Ejendommen er beliggende tat pa banegarden, offentligt parkanlag og med byens centrum i gaafstand med et stort udvalg af indkobsmuligheder. Der er falles gardhave til ejendommen. Borneinstitutioner og skoler i gaafstand.  Vaskefaciliteter findes Danmarksgade 18 B, i baghuset.  Dortelefonanlag. Afhovlede massive tragulve."
"270",3498,"Indefinite","Apartment","Randers C",38,2,"Pontoppidansgade","Lejlighed, Pontoppidansgade, 8900 Randers C, etage: st.                          Der er adgang til vaskeri.  Hvis du onsker, at se denne lejlighed ringer du alle hverdag fra 9 til 15.  Overtagelsesdato kan muligvis andres.  Ingen husdyr.  Centralt beliggende og renoveret ejendom. Ejendommen er beliggende tat pa banegarden, offentligt parkanlag og med byens centrum i gaafstand med et stort udvalg af indkobsmuligheder. Der er falles gardhave til ejendommen. Borneinstitutioner og skoler i gaafstand.  Vaskefaciliteter findes Danmarksgade 18 B, i baghuset.  Dortelefonanlag. Afhovlede massive tragulve."
"271",10000,"Indefinite","Apartment","Abyhoj",73,2,"Soren Frichs Vej","Lejlighed, Soren Frichs Vej, 8230 Abyhoj, etage: 2 6.                          Lejlighederne er alle indrettet med store vinduespartier, der sikrer et godt lysindfald og indeholde kokken- og badeelementer i et stilrent design fra Invita samt harde hvidevare fra Siemens. <U+00A0> Erdahus dakker ethvert behov, da der bade findes lejligheder med 2-, 3- og 4-varelser. <U+00A0> Til lejlighederne horer enten egen altan eller privat terrasse, hvor der taget hensyn til mest muligt lys og udsyn mod det gronne omrade i midten samt Brabrandstien mod syd. <U+00A0> Med en lejlighed i Abyen vil du blive en del af et nyt boligomrade tat pa Aarhus C, dagligvarebutikker og institutioner."
"272",10000,"Indefinite","Apartment","Abyhoj",73,2,"Soren Frichs Vej","Lejlighed, Soren Frichs Vej, 8230 Abyhoj, etage: 2 6.                          Lejlighederne er alle indrettet med store vinduespartier, der sikrer et godt lysindfald og indeholde kokken- og badeelementer i et stilrent design fra Invita samt harde hvidevare fra Siemens. <U+00A0> Erdahus dakker ethvert behov, da der bade findes lejligheder med 2-, 3- og 4-varelser. <U+00A0> Til lejlighederne horer enten egen altan eller privat terrasse, hvor der taget hensyn til mest muligt lys og udsyn mod det gronne omrade i midten samt Brabrandstien mod syd. <U+00A0> Med en lejlighed i Abyen vil du blive en del af et nyt boligomrade tat pa Aarhus C, dagligvarebutikker og institutioner."
"273",10750,"Indefinite","Apartment","Abyhoj",82,3,"Soren Frichs Vej","Lejlighed, Soren Frichs Vej, 8230 Abyhoj, etage: 2 7.                          Lejlighederne er alle indrettet med store vinduespartier, der sikrer et godt lysindfald og indeholde kokken- og badeelementer i et stilrent design fra Invita samt harde hvidevare fra Siemens. <U+00A0> Erdahus dakker ethvert behov, da der bade findes lejligheder med 2-, 3- og 4-varelser. <U+00A0> Til lejlighederne horer enten egen altan eller privat terrasse, hvor der taget hensyn til mest muligt lys og udsyn mod det gronne omrade i midten samt Brabrandstien mod syd. <U+00A0> Med en lejlighed i Abyen vil du blive en del af et nyt boligomrade tat pa Aarhus C, dagligvarebutikker og institutioner."
"274",10750,"Indefinite","Apartment","Abyhoj",82,3,"Soren Frichs Vej","Lejlighed, Soren Frichs Vej, 8230 Abyhoj, etage: 2 7.                          Lejlighederne er alle indrettet med store vinduespartier, der sikrer et godt lysindfald og indeholde kokken- og badeelementer i et stilrent design fra Invita samt harde hvidevare fra Siemens. <U+00A0> Erdahus dakker ethvert behov, da der bade findes lejligheder med 2-, 3- og 4-varelser. <U+00A0> Til lejlighederne horer enten egen altan eller privat terrasse, hvor der taget hensyn til mest muligt lys og udsyn mod det gronne omrade i midten samt Brabrandstien mod syd. <U+00A0> Med en lejlighed i Abyen vil du blive en del af et nyt boligomrade tat pa Aarhus C, dagligvarebutikker og institutioner."
"275",10500,"Indefinite","Apartment","Abyhoj",77,3,"Soren Frichs Vej","Lejlighed, Soren Frichs Vej, 8230 Abyhoj, etage: 2 5.                          Lejlighederne er alle indrettet med store vinduespartier, der sikrer et godt lysindfald og indeholde kokken- og badeelementer i et stilrent design fra Invita samt harde hvidevare fra Siemens. <U+00A0> Erdahus dakker ethvert behov, da der bade findes lejligheder med 2-, 3- og 4-varelser. <U+00A0> Til lejlighederne horer enten egen altan eller privat terrasse, hvor der taget hensyn til mest muligt lys og udsyn mod det gronne omrade i midten samt Brabrandstien mod syd. <U+00A0> Med en lejlighed i Abyen vil du blive en del af et nyt boligomrade tat pa Aarhus C, dagligvarebutikker og institutioner."
"276",10500,"Indefinite","Apartment","Abyhoj",77,3,"Soren Frichs Vej","Lejlighed, Soren Frichs Vej, 8230 Abyhoj, etage: 2 5.                          Lejlighederne er alle indrettet med store vinduespartier, der sikrer et godt lysindfald og indeholde kokken- og badeelementer i et stilrent design fra Invita samt harde hvidevare fra Siemens. <U+00A0> Erdahus dakker ethvert behov, da der bade findes lejligheder med 2-, 3- og 4-varelser. <U+00A0> Til lejlighederne horer enten egen altan eller privat terrasse, hvor der taget hensyn til mest muligt lys og udsyn mod det gronne omrade i midten samt Brabrandstien mod syd. <U+00A0> Med en lejlighed i Abyen vil du blive en del af et nyt boligomrade tat pa Aarhus C, dagligvarebutikker og institutioner."
"277",10668,"Indefinite","Apartment","Risskov",93,3,"Vindrosen","Lejlighed, Vindrosen, 8240 Risskov, etage: st. 2.                          Antal varelser: 3  Antal m2: 93  Husleje. 10.668 kr.  Indskud: 32.004 kr.  Post nummer: 8240  By: Risskov"
"278",10668,"Indefinite","Apartment","Risskov",93,3,"Vindrosen","Lejlighed, Vindrosen, 8240 Risskov, etage: st. 2.                          Antal varelser: 3  Antal m2: 93  Husleje. 10.668 kr.  Indskud: 32.004 kr.  Post nummer: 8240  By: Risskov"
"279",5400,"Indefinite","Apartment","Orum Djurs",148,5,"Abrovej","Lejlighed, Abrovej, 8586 Orum Djurs.                          Antal varelser: 5  Antal m2: 148  Husleje. 5.400 kr.  Indskud: 16.200 kr.  Post nummer: 8586  By: Orum Djurs  Hvis du er interesseret i lejemalet eller vil se flere detaljer, kan du klikke pa knappen til hojre."
"280",5400,"Indefinite","Apartment","Orum Djurs",148,5,"Abrovej","Lejlighed, Abrovej, 8586 Orum Djurs.                          Antal varelser: 5  Antal m2: 148  Husleje. 5.400 kr.  Indskud: 16.200 kr.  Post nummer: 8586  By: Orum Djurs  Hvis du er interesseret i lejemalet eller vil se flere detaljer, kan du klikke pa knappen til hojre."
"281",9500,"Indefinite","House","Randers SV",125,5,"Mollevangsvej","Hus/villa, Mollevangsvej, 8940 Randers SV.                          Mollevangsvej er beliggende i den sydvestlige del af Randers i byen Haslund.<U+00A0> Ejendommen bestar af 2 rakkehusebygninger med i alt 4 boliger.<U+00A0> Rakkehusene er opfort i rode mursten med tag af brune teglsten i 2008. Til hver af boligerne er tillige en carport og et mindre redskabsskur. Derudover er der grusbelagte arealer foran husene med mulighed for fallesparkering.<U+00A0> Haslund ligger ca. 7,5 km fra Randers centrum, og grundet de gode infrastrukturelle forhold tager turen via Hammelvej og Arhusvej kun ca. 10 minutter. Tillige afgar der flere gange i timen busser ind mod Randers , og busturen tager 23 minutter.<U+00A0> Haslund er karakteriseret ved rolige villakvarterer og et godt foreningsliv, men stadig kort afstand til Randers, som gor omradet ideelt for bornefamilier.<U+00A0> Det er kun tilladt at holde 1 stk hund pa max 20 kg ( ingen muskel eller kamphunde) det er ikke tilladt at holde kat."
"282",9500,"Indefinite","House","Randers SV",125,5,"Mollevangsvej","Hus/villa, Mollevangsvej, 8940 Randers SV.                          Mollevangsvej er beliggende i den sydvestlige del af Randers i byen Haslund.<U+00A0> Ejendommen bestar af 2 rakkehusebygninger med i alt 4 boliger.<U+00A0> Rakkehusene er opfort i rode mursten med tag af brune teglsten i 2008. Til hver af boligerne er tillige en carport og et mindre redskabsskur. Derudover er der grusbelagte arealer foran husene med mulighed for fallesparkering.<U+00A0> Haslund ligger ca. 7,5 km fra Randers centrum, og grundet de gode infrastrukturelle forhold tager turen via Hammelvej og Arhusvej kun ca. 10 minutter. Tillige afgar der flere gange i timen busser ind mod Randers , og busturen tager 23 minutter.<U+00A0> Haslund er karakteriseret ved rolige villakvarterer og et godt foreningsliv, men stadig kort afstand til Randers, som gor omradet ideelt for bornefamilier.<U+00A0> Det er kun tilladt at holde 1 stk hund pa max 20 kg ( ingen muskel eller kamphunde) det er ikke tilladt at holde kat."
"283",10492,"Indefinite","Apartment","Hojbjerg",112,4,"Lerdalen","Lejlighed, Lerdalen, 8270 Hojbjerg, etage: 1.                          Antal varelser: 4  Antal m2: 112  Husleje. 10.492 kr.  Indskud: 31.416 kr.  Post nummer: 8270  By: Hojbjerg"
"284",10492,"Indefinite","Apartment","Hojbjerg",112,4,"Lerdalen","Lejlighed, Lerdalen, 8270 Hojbjerg, etage: 1.                          Antal varelser: 4  Antal m2: 112  Husleje. 10.492 kr.  Indskud: 31.416 kr.  Post nummer: 8270  By: Hojbjerg"
"285",8197,"Indefinite","Apartment","Lystrup",84,3,"Abildhaven","Lejlighed, Abildhaven, 8520 Lystrup, etage: st.                          Antal varelser: 3  Antal m2: 84  Husleje. 8.197 kr.  Indskud: 24.522 kr.  Post nummer: 8520  By: Lystrup"
"286",8197,"Indefinite","Apartment","Lystrup",84,3,"Abildhaven","Lejlighed, Abildhaven, 8520 Lystrup, etage: st.                          Antal varelser: 3  Antal m2: 84  Husleje. 8.197 kr.  Indskud: 24.522 kr.  Post nummer: 8520  By: Lystrup"
"287",11519,"Indefinite","Apartment","Aarhus N",122,4,"Olof Palmes All<e9>","Lejlighed, Olof Palmes All<e9>, 8200 Aarhus N, etage: 3. tv.                          Antal varelser: 4  Antal m2: 122  Husleje. 11.519 kr.  Indskud: 34.075 kr.  Post nummer: 8200  By: Aarhus N"
"288",11519,"Indefinite","Apartment","Aarhus N",122,4,"Olof Palmes All<e9>","Lejlighed, Olof Palmes All<e9>, 8200 Aarhus N, etage: 3. tv.                          Antal varelser: 4  Antal m2: 122  Husleje. 11.519 kr.  Indskud: 34.075 kr.  Post nummer: 8200  By: Aarhus N"
"289",11615,"Indefinite","Apartment","Aarhus N",88,3,"Katrinebjergvej","Lejlighed, Katrinebjergvej, 8200 Aarhus N, etage: 3. th.                          Antal varelser: 3  Antal m2: 88  Husleje. 11.615 kr.  Indskud: 34.800 kr.  Post nummer: 8200  By: Aarhus N"
"290",11615,"Indefinite","Apartment","Aarhus N",88,3,"Katrinebjergvej","Lejlighed, Katrinebjergvej, 8200 Aarhus N, etage: 3. th.                          Antal varelser: 3  Antal m2: 88  Husleje. 11.615 kr.  Indskud: 34.800 kr.  Post nummer: 8200  By: Aarhus N"
"291",12700,"Indefinite","Apartment","Viby J",128,4,"Engtoften","Lejlighed, Engtoften, 8260 Viby J, etage: 1. Dor 3.                          Antal varelser: 4  Antal m2: 128  Husleje. 12.700 kr.  Indskud: 38.100 kr.  Post nummer: 8260  By: Viby J"
"292",12700,"Indefinite","Apartment","Viby J",128,4,"Engtoften","Lejlighed, Engtoften, 8260 Viby J, etage: 1. Dor 3.                          Antal varelser: 4  Antal m2: 128  Husleje. 12.700 kr.  Indskud: 38.100 kr.  Post nummer: 8260  By: Viby J"
"293",7300,"Over 1 year","House","Aarhus N",107,5,"Marienlystvej","Hus/villa, Marienlystvej, 8200 Aarhus N.                          Aldre, idyllisk villa i Arhus N kan nu lejes i en langere periode pa 4 ar. I villaen finder du 3 gode varelser, som alle har et stort vindue, sa der kommer rigeligt lys ind. De to stuer en-suit ligger ud mod haven, hvor der findes en overdakket terrasse. Badevarelse og kokken er af aldre dato.  Huset opvarmes med oliefyr, men tidligere beboer har opvarmet huset med tra, og har derved kun haft varmeforbrug pa kob af tra."
"294",7300,"Over 1 year","House","Aarhus N",107,5,"Marienlystvej","Hus/villa, Marienlystvej, 8200 Aarhus N.                          Aldre, idyllisk villa i Arhus N kan nu lejes i en langere periode pa 4 ar. I villaen finder du 3 gode varelser, som alle har et stort vindue, sa der kommer rigeligt lys ind. De to stuer en-suit ligger ud mod haven, hvor der findes en overdakket terrasse. Badevarelse og kokken er af aldre dato.  Huset opvarmes med oliefyr, men tidligere beboer har opvarmet huset med tra, og har derved kun haft varmeforbrug pa kob af tra."
"295",6025,"Indefinite","Apartment","Silkeborg",66,2,"Padborgvej","Lejlighed, Padborgvej, 8600 Silkeborg, etage: st.                          Padborgvej ligger i Hvinningdal, ca. 8 km fra Silkeborg. Hvinningdal horer til Silkeborg Kommune og har 5.000 indbyggere. Hvinningdal byder pa indkobsmuligheder til de nodvendige ting i dagligdagen. Hvis man skal handle stort ind ligger Silkeborg forholdsvis tat pa med en lang rakke butikker i Silkeborg centrum samt diverse indkobsmuligheder, sasom Kwik Spar, Rema 1000 og Super Spar. I Hvinningdal findes desuden sportshal, skole, kirke og offentlig transport. Silkeborg er sarlig kendt for sin smukke natur, med Gudenaen og Danmarks storste sammenhangende skovomrade. I Silkeborg finder du kunst og kultur, samt shopping i sma hyggelige gagader. Byggeriet er fordelt pa forskellige boligtyper. Til alle boligerne horer enten egen have, altan eller svalegang med, samt et redskabsskur til opbevaring af fx havemobler. Boligerne ligger i et 4-langet byggeri med et skont gront fallesareal i midten med en dejlig legeplads. Energimarke B. <U+00A0>Der er endvidere elevator til lejlighederne nr. 180-214. Det er kun tilladt at holde 1 stk hund pa max 20 kg ( ingen muskel eller kamphunde) det er ikke tilladt at holde kat. Lejemalet ligger pa Padborgvej i Hvinningdal, Silkeborg. De 48 boliger er opfort som lejligheder. Dette 2 varelses lejemal er indrettet med entr<e9>, hvorfra der er adgang til badevarelse samt stue. Stuen ligger i aben forbindelse med kokkenet, og fra stuen er der adgang til et varelse med indbygget skab. Der er anlagt gulvvarme pa badevarelset."
"296",6025,"Indefinite","Apartment","Silkeborg",66,2,"Padborgvej","Lejlighed, Padborgvej, 8600 Silkeborg, etage: st.                          Padborgvej ligger i Hvinningdal, ca. 8 km fra Silkeborg. Hvinningdal horer til Silkeborg Kommune og har 5.000 indbyggere. Hvinningdal byder pa indkobsmuligheder til de nodvendige ting i dagligdagen. Hvis man skal handle stort ind ligger Silkeborg forholdsvis tat pa med en lang rakke butikker i Silkeborg centrum samt diverse indkobsmuligheder, sasom Kwik Spar, Rema 1000 og Super Spar. I Hvinningdal findes desuden sportshal, skole, kirke og offentlig transport. Silkeborg er sarlig kendt for sin smukke natur, med Gudenaen og Danmarks storste sammenhangende skovomrade. I Silkeborg finder du kunst og kultur, samt shopping i sma hyggelige gagader. Byggeriet er fordelt pa forskellige boligtyper. Til alle boligerne horer enten egen have, altan eller svalegang med, samt et redskabsskur til opbevaring af fx havemobler. Boligerne ligger i et 4-langet byggeri med et skont gront fallesareal i midten med en dejlig legeplads. Energimarke B. <U+00A0>Der er endvidere elevator til lejlighederne nr. 180-214. Det er kun tilladt at holde 1 stk hund pa max 20 kg ( ingen muskel eller kamphunde) det er ikke tilladt at holde kat. Lejemalet ligger pa Padborgvej i Hvinningdal, Silkeborg. De 48 boliger er opfort som lejligheder. Dette 2 varelses lejemal er indrettet med entr<e9>, hvorfra der er adgang til badevarelse samt stue. Stuen ligger i aben forbindelse med kokkenet, og fra stuen er der adgang til et varelse med indbygget skab. Der er anlagt gulvvarme pa badevarelset."
"297",9200,"Indefinite","House","Randers NO",105,4,"Bakkestjernedalen","Hus/villa, Bakkestjernedalen, 8930 Randers NO.                          Det er tilladt at holde en hund, med forbehold, ingen katte."
"298",9200,"Indefinite","House","Randers NO",105,4,"Bakkestjernedalen","Hus/villa, Bakkestjernedalen, 8930 Randers NO.                          Det er tilladt at holde en hund, med forbehold, ingen katte."
"299",7958,"Indefinite","Apartment","Brabrand",75,2,"J.P. Larsens Vej","Lejlighed, J.P. Larsens Vej, 8220 Brabrand, etage: st. 1.                          Antal varelser: 2  Antal m2: 75  Husleje. 7.958 kr.  Indskud: 23.372 kr.  Post nummer: 8220  By: Brabrand"
"300",7958,"Indefinite","Apartment","Brabrand",75,2,"J.P. Larsens Vej","Lejlighed, J.P. Larsens Vej, 8220 Brabrand, etage: st. 1.                          Antal varelser: 2  Antal m2: 75  Husleje. 7.958 kr.  Indskud: 23.372 kr.  Post nummer: 8220  By: Brabrand"
"301",2500,"Over 1 year","Apartment","Aarhus C",60,1,"Sejrogade","Lejlighed, Sejrogade, 8000 Aarhus C, etage: 1 th.                          Antal varelser: 1  Antal m2: 60  Husleje. 2.500 kr.  Post nummer: 8000  By: Aarhus C"
"302",2500,"Over 1 year","Apartment","Aarhus C",60,1,"Sejrogade","Lejlighed, Sejrogade, 8000 Aarhus C, etage: 1 th.                          Antal varelser: 1  Antal m2: 60  Husleje. 2.500 kr.  Post nummer: 8000  By: Aarhus C"
"303",10668,"Indefinite","Apartment","Risskov",85,2,"Vindrosen","Lejlighed, Vindrosen, 8240 Risskov, etage: st. 3.                          Antal varelser: 2  Antal m2: 85  Husleje. 10.668 kr.  Indskud: 32.004 kr.  Post nummer: 8240  By: Risskov"
"304",10668,"Indefinite","Apartment","Risskov",85,2,"Vindrosen","Lejlighed, Vindrosen, 8240 Risskov, etage: st. 3.                          Antal varelser: 2  Antal m2: 85  Husleje. 10.668 kr.  Indskud: 32.004 kr.  Post nummer: 8240  By: Risskov"
"305",13112,"Indefinite","Apartment","Risskov",121,4,"Vindrosen","Lejlighed, Vindrosen, 8240 Risskov, etage: 1. 5.                          Antal varelser: 4  Antal m2: 121  Husleje. 13.112 kr.  Indskud: 39.337 kr.  Post nummer: 8240  By: Risskov"
"306",13112,"Indefinite","Apartment","Risskov",121,4,"Vindrosen","Lejlighed, Vindrosen, 8240 Risskov, etage: 1. 5.                          Antal varelser: 4  Antal m2: 121  Husleje. 13.112 kr.  Indskud: 39.337 kr.  Post nummer: 8240  By: Risskov"
"307",9800,"Indefinite","Apartment","Aarhus C",82,2,"Finderupvej","Lejlighed, Finderupvej, 8000 Aarhus C, etage: 1. sal lejl. 7.                          Hvis du er interesseret i lejemalet eller vil se flere detaljer, kan du klikke pa knappen til hojre."
"308",9800,"Indefinite","Apartment","Aarhus C",82,2,"Finderupvej","Lejlighed, Finderupvej, 8000 Aarhus C, etage: 1. sal lejl. 7.                          Hvis du er interesseret i lejemalet eller vil se flere detaljer, kan du klikke pa knappen til hojre."
"309",10000,"Over 1 year","House","Hammel",220,4,"Sall Skovvej","Hus/villa, Sall Skovvej, 8450 Hammel.                          Antal varelser: 4  Antal m2: 220  Husleje. 10.000 kr.  Post nummer: 8450  By: Hammel"
"310",10000,"Over 1 year","House","Hammel",220,4,"Sall Skovvej","Hus/villa, Sall Skovvej, 8450 Hammel.                          Antal varelser: 4  Antal m2: 220  Husleje. 10.000 kr.  Post nummer: 8450  By: Hammel"
"311",16500,"Indefinite","Apartment","Aarhus C",115,4,"Heibergsgade","Lejlighed, Heibergsgade, 8000 Aarhus C, etage: 4.                          Antal varelser: 4  Antal m2: 115  Husleje. 16.500 kr.  Post nummer: 8000  By: Aarhus C"
"312",16500,"Indefinite","Apartment","Aarhus C",115,4,"Heibergsgade","Lejlighed, Heibergsgade, 8000 Aarhus C, etage: 4.                          Antal varelser: 4  Antal m2: 115  Husleje. 16.500 kr.  Post nummer: 8000  By: Aarhus C"
"313",10900,"Under 1 year","Apartment","Aarhus C",88,3,"Dagmar Petersens Gade","Lejlighed, Dagmar Petersens Gade, 8000 Aarhus C, etage: 4.                          Antal varelser: 3  Antal m2: 88  Husleje. 10.900 kr.  Post nummer: 8000  By: Aarhus C"
"314",10900,"Under 1 year","Apartment","Aarhus C",88,3,"Dagmar Petersens Gade","Lejlighed, Dagmar Petersens Gade, 8000 Aarhus C, etage: 4.                          Antal varelser: 3  Antal m2: 88  Husleje. 10.900 kr.  Post nummer: 8000  By: Aarhus C"
"315",4500,"Indefinite","Room","Aarhus C",10,1,"Rosensgade","Varelse, Rosensgade, 8000 Aarhus C, etage: 1. th.                          Varelse i Rosensgade udlejes.  Til varelset horer en terrasse pa 10 kvm, hvor udgang til terrassen er i varelset.   Lejligheden deles med en enkelt person"
"316",4500,"Indefinite","Room","Aarhus C",10,1,"Rosensgade","Varelse, Rosensgade, 8000 Aarhus C, etage: 1. th.                          Varelse i Rosensgade udlejes.  Til varelset horer en terrasse pa 10 kvm, hvor udgang til terrassen er i varelset.   Lejligheden deles med en enkelt person"
"317",2492,"Indefinite","Apartment","Them",25,1,"Silkeborgvej","Lejlighed, Silkeborgvej, 8653 Them.                          Antal varelser: 1  Antal m2: 25  Husleje. 2.492 kr.  Indskud: 8.600 kr.  Post nummer: 8653  By: Them  Denne bolig er en del af et almennyttigt boligselskab, var derfor opmarksom pa reglerne omkring dette.  Der kan forekomme ventetid pa 0-6 maneder.  Hvis du er interesseret i lejemalet eller vil se flere detaljer, kan du klikke pa knappen til hojre."
"318",2492,"Indefinite","Apartment","Them",25,1,"Silkeborgvej","Lejlighed, Silkeborgvej, 8653 Them.                          Antal varelser: 1  Antal m2: 25  Husleje. 2.492 kr.  Indskud: 8.600 kr.  Post nummer: 8653  By: Them  Denne bolig er en del af et almennyttigt boligselskab, var derfor opmarksom pa reglerne omkring dette.  Der kan forekomme ventetid pa 0-6 maneder.  Hvis du er interesseret i lejemalet eller vil se flere detaljer, kan du klikke pa knappen til hojre."
"319",3582,"Indefinite","Apartment","Them",44,2,"Silkeborgvej","Lejlighed, Silkeborgvej, 8653 Them.                          Antal varelser: 2  Antal m2: 44  Husleje. 3.582 kr.  Indskud: 11.800 kr.  Post nummer: 8653  By: Them  Denne bolig er en del af et almennyttigt boligselskab, var derfor opmarksom pa reglerne omkring dette.  Der kan forekomme ventetid pa 0-6 maneder.  Hvis du er interesseret i lejemalet eller vil se flere detaljer, kan du klikke pa knappen til hojre."
"320",3582,"Indefinite","Apartment","Them",44,2,"Silkeborgvej","Lejlighed, Silkeborgvej, 8653 Them.                          Antal varelser: 2  Antal m2: 44  Husleje. 3.582 kr.  Indskud: 11.800 kr.  Post nummer: 8653  By: Them  Denne bolig er en del af et almennyttigt boligselskab, var derfor opmarksom pa reglerne omkring dette.  Der kan forekomme ventetid pa 0-6 maneder.  Hvis du er interesseret i lejemalet eller vil se flere detaljer, kan du klikke pa knappen til hojre."
"321",10150,"Indefinite","Apartment","Abyhoj",72,2,"Soren Frichs Vej","Lejlighed, Soren Frichs Vej, 8230 Abyhoj, etage: 2 12.                          Lejlighederne er alle indrettet med store vinduespartier, der sikrer et godt lysindfald og indeholde kokken- og badeelementer i et stilrent design fra Invita samt harde hvidevare fra Siemens. <U+00A0> Erdahus dakker ethvert behov, da der bade findes lejligheder med 2-, 3- og 4-varelser. <U+00A0> Til lejlighederne horer enten egen altan eller privat terrasse, hvor der taget hensyn til mest muligt lys og udsyn mod det gronne omrade i midten samt Brabrandstien mod syd. <U+00A0> Med en lejlighed i Abyen vil du blive en del af et nyt boligomrade tat pa Aarhus C, dagligvarebutikker og institutioner."
